OBJECTID_1,OBJECTID,BUSSTOPNUM,ONSTREET,ATSTREET,DIRECTION,POSITION,STATUS,ACCESSIBLE,CITY_NAME,RuleID,Override,X,Y
36,36,53621,6 Av,1 St,SB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.912459465946,49.2174667049967
37,37,53622,6th Ave,2nd St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.914543241851,49.2163360297059
38,38,53623,6 Av,4 St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.918046082878,49.2144412294942
39,39,53584,6 Av,10 St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.927221452762,49.2095046184329
40,40,53585,6 Av,12 St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.931060203724,49.2074469257886
41,41,53586,6th Ave,14th St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.933941600048,49.2058811886739
42,42,53587,6th Ave,16th St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.937477228782,49.2039732393149
43,43,53588,6 Av,18 St,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.940324951145,49.2024363696621
44,44,52182,Marine Way,20 St,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.946276257486,49.1999691451985
45,45,51433,8 St,10 Av,WB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.930608378005,49.216415071869
46,46,51417,8th St,8th Ave,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.92724631487,49.2135575053026
47,47,52304,8th Ave,8th St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.928090041557,49.2138318320599
48,48,52322,E 8th Ave,Mcbride Blvd,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.910938321695,49.2228554109985
49,49,58158,8th Ave,8th St,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.926965269157,49.2144556058414
50,50,58173,7 Av,22 St*,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.948344804722,49.2001123675452
51,51,58174,E 8th Ave,Chilliwack St,NB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.9024865292,49.2273821185754
52,52,56029,Highway 91a Onramp,Howes St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.947223166028,49.1879760496261
53,53,52316,Columbia St,6th St*,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.907276012739,49.2034037169172
54,54,52317,Columbia St,4th St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.904842373992,49.2046877864714
55,55,52331,Columbia St,4th St *,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.905827898487,49.2044138777861
56,56,52332,Columbia St,6 St *,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.90842309764,49.2030135074409
57,57,52158,Marine Dr,Trapp Av,EB,NS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.954629120072,49.1981405376222
58,58,52164,Trapp Av,Marine Dr,EB,NS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.953340692804,49.1979425773333
59,59,52184,Marine Dr,7 Av,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.953594583753,49.1981989918895
60,60,52187,Trapp Av,Marine Dr,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.953738942277,49.1978341821645
61,61,52231,8th Ave,23 St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.953158423132,49.2001919415302
62,62,52232,8th Ave,22 St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.951795722386,49.2009023066234
63,63,52233,8th Ave,21 St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.949867456103,49.2019361703371
64,64,52234,8th Ave,20 St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.947894490386,49.2030127002017
65,65,52235,8th Ave,19 St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.945705652939,49.2041964087993
66,66,52236,8th Ave,18 St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.943483321918,49.2053933903308
67,67,52237,8th Ave,16 St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.940277794324,49.2071233985013
68,68,52238,8th Ave,14th  St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.936878171487,49.2089597785172
69,69,52239,8th Ave,12th St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.93373248981,49.2106550678304
70,70,52240,8th Ave,10th St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.930068599542,49.212632752197
71,71,56911,Ewen Ave,Phillips St,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.956348079174,49.1821743288325
72,72,56912,Ewen Ave,Dawes St,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.954410688364,49.1829827463116
73,73,56913,Ewen Ave,Gifford St,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.951336207181,49.1842754608978
74,74,52362,Ewen Ave,Howes St,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.947370606708,49.1860670032832
75,75,52363,Ewen Ave,Jardine St,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.949844535673,49.1850432126294
76,76,52364,Ewen Ave,Gifford St,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.953014238737,49.1837097379003
77,77,52365,Ewen Ave,Hume St,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.956054599736,49.182428938332
78,78,52305,8th Ave,10th St,SB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.930991717991,49.2122843443046
79,79,52306,8th Ave,12th St,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.934041431862,49.2106411400477
80,80,52307,8th Ave,14th  St,SB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.937561213639,49.208729807367
81,81,52308,8th Ave,16 St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.940976004632,49.2068608249843
82,82,52309,8th Ave,18 St,SB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.944446052752,49.2050066728684
83,83,52310,8th Ave,19 St,SB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.946465904024,49.2039292525116
84,84,52311,8th Ave,20 St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.948760949316,49.2026935747929
85,85,52312,8th Ave,21st St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.950448034889,49.201784247366
86,86,59345,E Columbia St,Hume Park*,SB,AT,ACTIVE,NO,NEW WESTMINSTER,1,,-122.892617353447,49.2375442286537
87,87,58985,Mcbride Blvd,6th Ave,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.908157573369,49.2192681679442
88,88,53510,Braid St,Columbia St,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.892135665311,49.2315385230035
89,89,53574,Braid St,E Columbia St,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.893791582455,49.2317979332972
90,90,53217,E Columbia St,Holmes St,SB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.892698867487,49.2353580452232
91,91,53101,E Columbia St,Sherbrooke St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.892931799562,49.227541473542
92,92,53218,E Columbia St,Keary St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.893010639471,49.225300889243
93,93,53219,E Columbia St,Alberta St,SB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.89304589927,49.2233451888296
94,94,53220,E Columbia St,Cumberland St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.893145305632,49.2200823000393
95,95,53221,E Columbia St,Richmond St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.89409522274,49.2161767418728
96,96,53102,E Columbia St,Mcbride Blvd,SB,NS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.89658673485,49.2122836009408
97,97,58322,7 Av,22 St *,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.949710737238,49.1998566941408
98,98,52613,12 St,London St,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.936736104014,49.2124421273302
99,99,52614,12th St,8th Ave,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.933995033654,49.2102631315513
100,100,52615,12 St,7 Av,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.932102730341,49.2087519685269
101,101,52169,12th St,6th Ave,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.930146123095,49.2072038095389
102,102,52170,12 St,5 Av,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.928518984778,49.2059040375117
103,103,52171,12 St,4 Av,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.926746083416,49.2044922484058
104,104,52172,12 St,3 Av,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.924781514513,49.2029294019176
105,105,52173,12 St,Queens Av,EB,AT,ACTIVE,NO,NEW WESTMINSTER,1,,-122.923169477071,49.2018015085449
106,106,52176,Columbia St,10 St,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.916203978483,49.2002222352754
107,107,52177,Stewardson Way,Royal Av,WB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.919035803511,49.2003964341506
108,108,52617,12 St,Queens Av,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.923053129617,49.2019299109857
109,109,52618,12 ST,3 AV,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.925177501819,49.2034693500913
110,110,52619,12 ST,4 AV,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.927015663323,49.2049408795904
111,111,52620,12 St,5 Av,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.928965175381,49.2064813249431
112,112,52621,12 St,6 Ave,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.930762322056,49.2079010368569
113,113,52622,12 St,7 Av,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.932464602475,49.2092413715366
114,114,52623,12th St,8th Ave,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.934413855926,49.2108178126638
115,115,52624,12 St,Dublin St,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.936312524302,49.2123214207131
116,116,52625,12 St,10 Av,WB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.937545206616,49.2133064387219
117,117,59549,6th Ave,18th St,NB,AT,ACTIVE,YES,NEW WESTMINSTER,2,,-122.940354332439,49.2022731561191
118,118,58947,6th Ave,Glenbrook Dr,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.905993237268,49.2209544349069
119,119,52242,6th St,6th Ave*,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.920751107246,49.2136123576953
120,120,52420,6th St,6th Ave*,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.919958806942,49.2127500721948
121,121,52303,6th Ave,6th St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.920905474028,49.2129289298787
122,122,52241,6th Ave,8th St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.923426231225,49.2114061884363
123,123,53613,Hospital St,E Columbia St,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.893518080094,49.2265358232955
126,126,51416,8 St,10 Av,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.931182338678,49.2165659872046
127,127,51418,8 St,6 Av,EB,NS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.924771815031,49.211621808098
128,128,51419,8 St,5 Av,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.92205935135,49.2095215349457
129,129,51420,8 St,4 Av,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.920040489329,49.2079232120549
130,130,51421,8 St,3 Av,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.918207205903,49.2064659232485
131,131,51422,8 St,Queens Av,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.916192598905,49.2048688215493
132,132,51423,8 St,Royal Av,EB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.914986854153,49.2038912399515
133,133,51425,8 St,Royal Ave,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.914853869012,49.204043972117
134,134,51426,8 ST,QUEENS AV,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.916584887922,49.2054145083423
135,135,51427,8 ST,3 AV,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.91851578044,49.2069548376838
136,136,51428,8 St,4 Av,WB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.920035843289,49.2081565287214
137,137,51429,8 ST,5 AV,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.922435948774,49.2100607861725
138,138,51430,8 St,6 Av,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.924182247682,49.2114462843967
139,139,51431,8 St,7 Av,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.925861362923,49.2127869342426
140,140,51432,8th St,8th Ave,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.927874181034,49.2143309176511
141,141,58983,Blackberry Dr,Queens Park Hospital,SB,AT,ACTIVE,NO,NEW WESTMINSTER,1,,-122.901665281331,49.2166762496783
