OBJECTID,Catchment,Comments,DATALOAD,Diameter,Estim_Year,Install_Year,Invert_DN,Invert_UP,Manhole_Down,Manhole_Up,Material,Pipe_Bursted,RefAuto,Relined,Sewer_ID,Sewer_Type,Slope,Total_Length,Original_Material,Original_Diameter,Original_Install_Year,SHAPE.len,_SEWERNAME
5423735,9,,20170309201124,200,0,2000,0,0,9999,9218,PVC,No,10617,No,92189999,SAN,0,101,PVC,200,2000,101.005079080213,SANITARY
5423736,9, ,20170309201124,200,0,2000,0,0,9218,9217,PVC,No,10616,No,92179218,SAN,0,105.5,PVC,200,2000,105.494169033175,SANITARY
5423737,9,,20170309201124,200,0,2003,0,0,22,9214,PVC,No,10615,No,92140022,SAN,0,25,PVC,200,2003,30.7043824061129,SANITARY
5423738,9, ,20170309201124,200,0,2003,0,0,9212,9215,PVC,No,10614,No,92159212,SAN,0,52.5,PVC,200,2003,52.5059358549107,SANITARY
5423739,9, ,20170309201124,200,0,2003,0,0,9212,9216,PVC,No,10613,No,92169212,SAN,0,36,PVC,200,2003,36.0017680121407,SANITARY
5423740,8,Invert and slope updated; 4097-01-U-27 (1460.tif; 1404.tif),20170309201124,200,0,1973,50.29199982,52.81574249,8095,8089,PVC,No,10730,No,80898095,SAN,0.0349,67.69000244,PVC,200,1973,67.6971272925487,SANITARY
5423741,2, ,20170309201124,200,0,1990,0,0,2189,2191,PVC,No,10729,No,21912189,SAN,0,48.97000122,PVC,200,1990,48.9678242078848,SANITARY
5423742,2,,20170309201124,200,0,1990,0,0,2193,2195,PVC,No,10728,No,21952193,SAN,0,21.35000038,PVC,200,1990,21.3420696175413,SANITARY
5423743,2, ,20170309201124,200,0,1990,0,0,2191,2193,PVC,No,10727,No,21932191,SAN,0,15.25,PVC,200,1990,15.242958258691,SANITARY
5423744,2,,20170309201124,200,0,1981,0,0,2100,2104,PVC,No,10726,No,21042100,SAN,0,71.08999634,PVC,200,1981,70.9795582429649,SANITARY
5423745,1, ,20170309201124,200,0,1978,0,0,7777,1200,PVC,No,10725,No,12007777,SAN,0,97.52999878,PVC,200,1978,97.5361143372033,SANITARY
5423746,1, ,20170309201124,200,0,1978,0,0,1200,1222,PVC,No,10970,No,12221200,SAN,0,29.56999969,PVC,200,1978,29.577222093361,SANITARY
5423747,2,,20170309201124,200,0,1990,0,0,2187,2189,PVC,No,10969,No,21892187,SAN,0,10.25,PVC,200,1990,10.2489072588252,SANITARY
5423748,2, ,20170309201124,200,0,1990,0,0,2168,2173,PVC,No,10968,No,21732168,SAN,0,82.29000092,PVC,200,1990,82.2952033839154,SANITARY
5423749,2,,20170309201124,200,0,1990,0,0,2169,2168,PVC,No,10967,No,21682169,SAN,0,23,PVC,200,1990,22.9982977630954,SANITARY
5423750,2, ,20170309201124,200,0,1990,0,0,2182,2169,PVC,No,10966,No,21692182,SAN,0,74.05999756,PVC,200,1990,74.0634815546771,SANITARY
5423751,2, ,20170309201124,200,0,1990,0,0,2183,2182,PVC,No,10965,No,21822183,SAN,0,19.19000053,PVC,200,1990,19.190010422092,SANITARY
5423752,2, ,20170309201124,200,0,1990,0,0,9999,2187,PVC,No,10964,No,21879999,SAN,0,11.59000015,PVC,200,1990,11.5917988250314,SANITARY
5423753,2,,20170309201124,200,0,1990,0,0,9999,2183,PVC,No,10963,No,21839999,SAN,0,3.6500001,PVC,200,1990,3.65131483167365,SANITARY
5423754,2, ,20170309201124,250,0,1988,0,0,2463,2461,PVC,No,10377,No,24612463,STM,0,35.04999924,PVC,250,1988,34.4658985121526,STORM
5423755,2,,20170309201124,300,0,1988,0,0,2433,2463,PVC,No,10376,No,24632433,STM,0,50.29000092,PVC,300,1988,50.2976987545156,STORM
5423756,2,,20170309201124,300,0,1988,0,0,2432,2433,PVC,No,10375,No,24332432,STM,0,24.37999916,PVC,300,1988,24.3736189352341,STORM
5423757,2, ,20170309201124,300,0,1988,0,0,2436,2432,PVC,No,10374,No,24322436,STM,0,54.86000061,PVC,300,1988,54.8584004506147,STORM
5423758,2, ,20170309201124,300,0,1988,0,0,2409,2436,PVC,No,10373,No,24362409,STM,0,88.81999969,PVC,300,1988,88.8258633507156,STORM
5423759,2, ,20170309201124,200,0,1986,0,0,2427,2434,PVC,No,10372,No,24342427,STM,0,58.52000046,PVC,200,1986,58.5223957130943,STORM
5423760,2,,20170309201124,200,0,1986,0,0,2424,2427,PVC,No,10371,No,24272424,STM,0,55,PVC,200,1986,54.9466626066588,STORM
5423761,2,,20170309201124,200,0,1986,0,0,2424,2422,PVC,No,10370,No,24222424,STM,0,33.52000046,PVC,200,1986,33.5150190213283,STORM
5423762,2, ,20170309201124,200,0,1986,0,0,2407,2424,PVC,No,10369,No,24242407,STM,0,42.08000183,PVC,200,1986,41.8587068425435,STORM
5423763,2,,20170309201124,250,0,1986,0,0,2404,2407,PVC,No,10368,No,24072404,STM,0,75.58999634,PVC,250,1986,77.4356100357581,STORM
5423764,2, ,20170309201124,250,0,1986,0,0,0,2404,PVC,No,10367,No,24040000,STM,0,15.23999977,PVC,250,1986,15.2423915446363,STORM
5423765,2, ,20170309201124,450,0,1988,0,0,2403,2409,CONC,No,10366,No,24092403,STM,0,105.15000153,CONC,450,1988,105.145926216854,STORM
5423766,2, ,20170309201124,450,0,1988,0,0,2384,2403,CONC,No,10365,No,24032384,STM,0,97.52999878,CONC,450,1988,97.5349911570201,STORM
5423767,2,,20170309201124,450,0,1988,0,0,2383,2384,CONC,No,10364,No,23842383,STM,0,35.04999924,CONC,450,1988,35.0453092438917,STORM
5423768,2,,20170309201124,450,0,1988,0,0,2401,2383,CONC,No,10363,No,23832401,STM,0,80.76999664,CONC,450,1988,80.7723077545764,STORM
5423769,2, ,20170309201124,525,0,1988,0,0,2393,2401,CONC,No,10362,No,24012393,STM,0,64,CONC,525,1988,63.9996265614105,STORM
5423770,2, ,20170309201124,750,0,1988,0,0,0,2393,CONC,No,10361,No,23930000,STM,0,56.38000107,CONC,750,1988,56.3786927837104,STORM
5423771,1,,20170309201124,600,1989,1998,0,0,1202,1201,CONC,No,10360,No,12011202,STM,0,84.41000366,CONC,600,1998,84.4155013800783,STORM
5423772,1,,20170309201124,200,1948,1948,0,0,1131,1115,PVC,No,10359,No,11151131,STM,0,46.63000107,PVC,200,1948,46.6272109395362,STORM
5423773,1,,20170309201124,200,1948,1948,0,0,1131,1129,PVC,No,10358,No,11291131,STM,0,99.05999756,PVC,200,1948,99.0651068742168,STORM
5423774,1,,20170309201124,200,1948,1948,0,0,1153,1131,PVC,No,10357,No,11311153,STM,0,35.34999847,PVC,200,1948,35.3552626917125,STORM
5423775,1,,20170309201124,200,1948,1948,0,0,1156,1153,PVC,No,10356,No,11531156,STM,0,58.52000046,PVC,200,1948,58.5188901125098,STORM
