BLOCK,YEAR,NGBRHOOD,NUMBLDGS_HA,RESUNIT_HA,FLRSPCE_HA,TTLSPCES_HA
U-005,1879,4,,,,
U-008,1904,4,6.55017500012454,5.82237777788848,0.128643433958931,
S-067,1874,9,,,,
U-051,1890,C,1.97810269195457,1.97810269195457,0.0333361817344649,
U-039,1922,C,9.50183307385614,9.50183307385614,0.191525932489956,2.92364094580189
C-016,1922,C,1.94131058795456,,0.225717011146696,
U-004,1884,4,,,,
U-078,1866,7,,,,
U-009,1914,5,6.3207566564895,6.3207566564895,0.114972621601993,
W-097,1916,3,10.992088644785,9.89287978030651,0.18586825004881,2.198417728957
U-100,1924,6,6.36165192150261,5.78331992863874,0.0867988394584139,2.89165996431937
S-028,1860,8,,,,
U-015,1897,4,,,,
U-074,1923,6,7.27207767271483,7.27207767271483,0.118634979304156,0.765481860285772
C-002,1866,B,,,,
C-038,1895,7,2.66529858490177,2.66529858490177,0.0732938133922062,
Q-011,1911,1,0.164736991906679,0.164736991906679,0.00225436179981635,
U-096,1862,6,,,,
U-009,1923,5,6.3207566564895,6.3207566564895,0.123722158711295,0.486212050499192
C-012,1903,D,28.5022326947851,18.1929144860331,0.860012424281564,
U-102,1866,6,,,,
S-069,1875,9,0.540935277094096,0.540935277094096,,
W-106,1930,3,9.2664557947507,13.3848805924177,0.238798974594429,8.23684959533396
W-103,1910,3,4.23015481119559,,0.205693097506986,
S-075,1886,9,,,,
S-002,1920,8,,,,
W-106,1889,3,,,,
C-030,1868,D,2.26261962620956,2.26261962620956,0.0956849295960814,
U-079,1914,7,10.961825711735,10.2310373309527,0.203765558982285,1.0961825711735
W-093,1898,3,0.832862507829032,0.832862507829032,0.0128056329309811,
S-057,1885,9,,,,
U-009,1929,5,9.42369587170086,8.90015721216193,0.181605729670985,7.85307989308405
S-040,1870,8,,,,
W-101,1896,B,1.13027534864176,1.13027534864176,0.012495710515069,
U-069,1904,6,,,,
U-044,1938,C,16.0623452923409,16.6801278035848,0.351405317080926,14.2089977586093
Q-038,1866,A,,,,
Q-020,1877,1,,,,
C-002,1890,B,1.18799889678879,0.791999264525857,0.0149843852774528,
U-035,1879,5,,,,
W-069,1901,3,,,,
S-005,1919,E,,,,
U-006,1898,4,,,,
W-059,1906,3,,,,
W-035,1922,2,4.9248670477317,4.9248670477317,0.150883579342938,1.23121676193293
U-017,1895,5,2.30196536666642,2.30196536666642,0.0386138582091213,
W-007,1906,2,,,,
S-041,1890,8,,,,
C-009,1919,5,7.07217036594582,33.6635309419021,0.210553129913776,
W-005,1934,2,,,,
W-045,1930,B,1.33519464128175,0.890129760854499,0.0305147225887136,0.890129760854499
S-029,1881,8,,,,
U-005,1869,4,,,,
S-065,1865,9,,,,
C-008,1866,D,,,,
U-050,1912,C,6.62012798157118,5.95811518341406,0.221176998648935,1.32402559631424
W-091,1889,3,,,,
C-003,1936,B,1.3805083926675,0.69025419633375,0.0443820791051403,
U-010,1861,5,,,,
U-074,1927,6,8.20204824497449,8.20204824497449,0.14039574385941,7.42090079307216
U-066,1866,7,,,,
U-052,1863,C,,,,
W-037,1875,3,,,,
U-007,1930,4,11.9274407557874,11.5766336747348,0.224372947763195,9.47179118841938
U-093,1878,7,,,,
