OBJECTID,Location,POINT_X,POINT_Y,INTID,X,Y
159,"COLUMBIA ST, FOURTH ST",506899.3638,5450205.8037,INT471,-122.905283742436,49.2046079984446
160,"AUCKLAND ST, ELEVENTH ST",505775.4387,5449868.7326,INT405,-122.920718108324,49.2015875681962
161,"RICHMOND ST, HOSPITAL ST",507381.4384,5452642.5283,INT550,-122.898620890722,49.226521364982
162,"ROUSSEAU ST, BRAID ST",508279.6979,5453204.82,INT611,-122.88627231363,49.2315678280511
163,"E COLUMBIA ST, HOLMES ST",507820.0966,5453663.2425,INT700,-122.892576319089,49.2356974885253
164,"HAMILTON ST, TWELFTH ST",504867.43,5450772.127,INT411,-122.933171767872,49.2097217444927
165,"E COLUMBIA ST, STRAND AVE",507794.6743,5452227.5,INT508,-122.892953447435,49.2227829618192
166,GINGER DR,506857.7259,5451703.0256,INT631,-122.905829779935,49.2180763860308
167,"E TENTH AVE, KENT ST",507288.07,5453462.69,INT944,-122.899888335112,49.2339000364231
168,"QUEBEC ST, ELEVENTH ST",505809.6601,5449827.0141,INT404,-122.920248940597,49.2012119746824
169,"MARINE DR, FENWICK AVE",503230.1246,5449483.7476,INT581,-122.955661792908,49.1981432108738
170,"E SIXTH AVE, LIDSTER PL",507034.6944,5452253.7189,INT322,-122.903389998539,49.2230280078179
171,"FRONT ST, FOURTH ST",506939.4545,5450155.8692,INT470,-122.904734230576,49.2041583708069
172,"DURHAM ST, SECOND ST",506064.3684,5451761.3859,INT230,-122.916723261934,49.2186097201389
173,SEVENTH AVE,503713.36,5449729.31,INT684,-122.949026409433,49.2003493817737
174,LIDSTER PL,507010.736,5452275.5364,INT498,-122.903718646138,49.2232245364898
175,"EIGHTH ST, MILTON ST",506048.65,5450314.5,INT37,-122.916960911323,49.205594739178
176,CLUTE ST,506262.3557,5452291.4817,INT958,-122.913996202318,49.2233760777788
177,"E DURHAM ST, YORK ST",506866.8717,5452417.8056,INT333,-122.905691956209,49.224505913907
178,PRETTY CT,503702.9848,5447544.3644,INT806,-122.949188962496,49.1806951715506
179,"CARNARVON ST, ALEXANDER ST",506403.0747,5449956.4001,INT856,-122.912100895765,49.2023699274444
180,"ROYAL AVE, ELEVENTH ST",505845.0845,5449783.6542,INT124,-122.919763290037,49.2008216028972
181,"MOTT CR, MCBRIDE BLVD",506199.2354,5452350.8995,INT479,-122.914862143069,49.2239111982594
182,"SALTER ST, DOCKSIDE CRT",503178.7393,5447333.8722,INT26,-122.956384133903,49.1788046650775
183,BRUNETTE AVE,508728.1143,5453472.5216,INT825,-122.880107173812,49.2339696382212
184,"FIFTH ST, FIFTH AVE",506029.5536,5451056.5448,INT642,-122.91721193234,49.2122698280227
185,"SEVENTH AVE, TWELFTH ST",504937.0367,5450688.0473,INT288,-122.932217125156,49.2089648669812
186,"EWEN AVE, MCGILLVRAY PL",504283.809,5448418.2409,INT109,-122.94120979222,49.1885521911728
187,GARRETT ST,508084.906,5453382.9477,INT906,-122.888944325289,49.2331727317772
188,"E EIGHTH AVE, CHERRY ST, DEVOY ST, SHERBROOKE ST",507188.4906,5452818.6958,INT511,-122.901267737769,49.2281083304441
189,"QUEENS AVE, EIGHTH ST",506090.0791,5450264.1525,INT38,-122.91639291478,49.2051414387584
190,"FOURTH AVE, LOUELLEN ST",505371.4754,5450250.3912,INT300,-122.926258373851,49.2050243714896
191,"RICHMOND ST, KENT ST",507392.7624,5453340.725,INT753,-122.89845249224,49.2328016771517
192,"SEVENTH AVE, SECOND ST",506134.8002,5451676.4377,INT231,-122.915757382608,49.2178448872527
193,"DUNCAN ST, MERCER ST",505021.1567,5449136.7205,INT87,-122.93108159775,49.1950095433606
194,QUAYSIDE DR,506558.8534,5449790.5763,INT244,-122.909965132504,49.2008766471439
195,ALEXANDER ST,506446.6124,5449902.2126,INT859,-122.911504096405,49.2018820388321
196,"E SIXTH AVE, MCBRIDE BLVD, SIXTH AVE",506669.7623,5451868.41,INT597,-122.908408141585,49.2195661374675
197,"E SEVENTH AVE, YORK ST",506935.8783,5452332.5549,INT350,-122.904745710741,49.223738284679
198,"ROYAL AVE, WINDSOR ST",507039.2133,5450767.9041,INT643,-122.90335400063,49.2096626582272
199,SALTER ST,504956.7228,5448463.993,INT78,-122.93197428898,49.18895867564
200,"NANAIMO ST, TWELFTH ST",505001.2514,5450610.295,INT410,-122.931336460856,49.2082649422826
201,COLUMBIA ST,506481.7401,5449858.4924,INT819,-122.9110225869,49.2014883924943
202,"FIFTH ST, FOURTH AVE",506164.5345,5450905.9898,INT144,-122.915360907304,49.2109142011533
203,"PRINCESS ST, SECOND ST",506195.4075,5451604.2497,INT232,-122.914926243149,49.2171949270411
204,"TENTH AVE, SIXTH ST",505270.5747,5451798.0216,INT457,-122.927623254795,49.2189466121813
205,"TRAPP RD, FENWICK AVE",503299.2862,5449385.8108,INT845,-122.954713252941,49.1972618712452
206,"WINDSOR ST, CUNNINGHAM ST",507073.8917,5450724.7429,INT646,-122.902878639235,49.2092740119861
207,"CHURCHILL AVE, LAUREL ST",507021.5458,5452968.1773,INT557,-122.903558065507,49.229454890217
208,"E COLUMBIA ST, RICHMOND ST",507729.0241,5451529.7057,INT636,-122.893868480711,49.216506954685
209,"SALTER ST, HOWES ST",504060.3195,5447893.3468,INT805,-122.944282221262,49.183832120976
210,"BASRAN AVE, SUZUKI ST",503486.5332,5447734.9183,INT928,-122.952157380778,49.1824105350982
211,"STEWARDSON WAY, SIXTH AVE, MARINE WAY",504260.2,5449883.31,INT897,-122.941518263317,49.2017311007897
212,"SALTER ST, CAMPBELL ST",504503.7618,5448178.0013,INT95,-122.938193893974,49.1863895836618
213,"SIXTH AVE, TWELFTH ST",505059.2061,5450541.0039,INT290,-122.930541658761,49.2076411734121
214,MARINE WAY,503329.95,5449347.49,INT976,-122.954292672472,49.1969169981648
215,"AGNES ST, WINDSOR ST",507108.7726,5450682.268,INT967,-122.902400492931,49.2088915348761
216,ROYAL AVE,505828.1951,5449769.1857,INT125,-122.919995344102,49.20069161532
217,HAMPTON ST,503727.6264,5448216.5917,INT911,-122.948844606667,49.1867419254504
218,NANAIMO ST,504187.5007,5449947.086,INT887,-122.942515574778,49.2023052857475
219,"ROYAL AVE, EIGHTH ST",506221.1372,5450104.986,INT451,-122.91459616365,49.2037083741561
220,"SIXTH AVE, SECOND ST",506256.4849,5451530.3073,INT176,-122.914088697633,49.2165291746901
221,"FIFTH ST, BLACKFORD ST",506234.8512,5450820.7314,INT212,-122.914396783899,49.2101465667822
222,"CUMBERLAND ST, GLENBROOKE DR",507263.04,5451980.3824,INT44,-122.900258999126,49.2205666108894
223,"FIFTH AVE, FIFTH ST",505999.26,5451051.59,INT641,-122.917627948608,49.2122255556014
224,"TENTH AVE, NINETEENTH ST",503656.1722,5450467.5685,INT834,-122.949804709476,49.2069905778617
225,"BLACKLEY ST, MERCER ST",505065.5146,5449057.447,INT92,-122.930473758713,49.1942960891483
226,"THIRD AVE, LOUELLEN ST",505506.9783,5450076.8096,INT122,-122.92440052131,49.2034617522624
227,MARINE DR,503118.0556,5449543.5173,INT582,-122.957199640246,49.1986814377304
228,MCBRIDE BLVD,506835.6589,5451667.8627,INT599,-122.906133402306,49.217760333131
229,"REGINA ST, SECOND ST",506320.3245,5451451.4851,INT172,-122.913213322698,49.2158194926016
230,"THIRD AVE, FIFTH ST",506305.3809,5450735.3186,INT206,-122.913429768371,49.2093775332153
231,"TENTH AVE, SIXTEENTH ST",504053.0885,5450795.0198,INT694,-122.944352174817,49.209933599282
232,"KELLY ST, SHERBROOKE ST",507897.9613,5452794,INT761,-122.891523825002,49.2278774463352
233,"RICKMAN PL, JACKSON CR",506521.4286,5452709.683,INT572,-122.910431440878,49.227135200404
234,JACK MAHONY PL,506512.5444,5451988.0192,INT228,-122.910565176805,49.2206437451153
235,"EIGHTH ST, AGNES ST",506299.0318,5450009.6829,INT651,-122.913528321829,49.2028502997165
236,"HARVEY ST, DIXON ST",507116.5517,5452109.7112,INT323,-122.9022683789,49.2217316761575
237,BEACH ST,505028.5593,5449083.7201,INT797,-122.930980655992,49.1945327279287
238,"COURTNEY CR, MCBRIDE BLVD",506107.3024,5452387.5806,INT590,-122.916124154786,49.2242420777813
239,"GALBRAITH AVE, SUZUKI ST",503530.701,5447659.0132,INT74,-122.951551971783,49.1817274911578
240,"FIFTH AVE, TWELFTH ST",505186.7415,5450385.4501,INT293,-122.928792723417,49.2062408563981
241,"VICTORIA ST, EIGHTH ST",506331.3914,5449970.4065,INT854,-122.913084716302,49.2024966637353
242,"LONDON ST, NINETEENTH ST",503724.1729,5450385.148,INT724,-122.94887189823,49.2062487721426
243,MAYES ST,504717.54,5450122.27,INT22,-122.935237342609,49.2038772666615
244,"FIFTH AVE, SECOND ST",506384.4748,5451374.0381,INT423,-122.912333684678,49.2151221708623
245,"SOUTH DYKE RD, DOCKSIDE CRT",503288.6016,5447164.077,INT25,-122.954878088936,49.1772767212562
246,"LONDON ST, SIXTEENTH ST",504121.3422,5450712.7453,INT750,-122.943415914784,49.209193061529
247,"CARNARVON ST, EIGHTH ST",506367.052,5449926.8222,INT857,-122.912595870716,49.2021042409428
248,"MCBRIDE BLVD, E TENTH AVE, TENTH AVE",506046.863,5452436.9207,INT585,-122.916953466547,49.2246865043038
249,"QUEENS AVE, BONSON ST",506855.8786,5450896.7818,INT435,-122.905868919022,49.2108240272549
250,"E SIXTH AVE, FISHER ST",507006.0457,5452207.2026,INT497,-122.903784253268,49.2226099102247
251,MARINE WAY,503320.64,5449317.79,INT580,-122.954420708186,49.1966498880929
252,MCBRIDE BLVD,506107.25,5452374.34,INT584,-122.916125076015,49.2241229757203
253,"SECOND ST, ELGIN ST",506419.3117,5451331.1361,INT822,-122.911856020031,49.2147358917893
254,MINER ST,507455.2448,5451756.3143,INT506,-122.897623679819,49.2185487512357
255,"TWELFTH ST, CAMERON ST",505257.0624,5450300.2293,INT301,-122.927828424589,49.2054736716506
256,"BLACKBERRY DR, MCBRIDE BLVD",506953.2524,5451526.075,INT600,-122.904521078967,49.2164835918704
257,"E EIGHTH AVE, BUCHANAN AVE",507555.6607,5453114.2814,INT529,-122.89621918042,49.23076277433
258,"RIVER DR, FIFTH AVE",504290.4242,5449804.7756,INT770,-122.941104200875,49.2010244497681
259,"DUBLIN ST, NINETEENTH ST",503791.3408,5450303.7065,INT841,-122.947950538743,49.2055157703463
260,"RICHMOND ST, WINTHROP ST",507391.9154,5453277.7404,INT754,-122.898465287838,49.2322351258967
261,"ROYAL AVE, COLUMBIA ST",505817.1504,5449735.688,INT905,-122.920147441612,49.2003903985884
262,"ST. PATRICK ST, SECOND ST",506454.614,5451288.6662,INT425,-122.911371965498,49.2143534926727
263,"EIGHTH AVE, SIXTH ST",505539.8308,5451473.2549,INT456,-122.923930254795,49.2160228727942
264,"PARK ROW, BONSON ST",506954.2522,5450788.3087,INT475,-122.90452013241,49.2098471733416
265,"DUBLIN ST, SIXTEENTH ST",504188.5298,5450631.4361,INT732,-122.942494309469,49.2084612065389
266,"EWEN AVE, MERCER ST",505131.164,5448955.833,INT91,-122.929573992399,49.1933814941865
