Y,X,Sign_Code,Sign_ID,Traffic_Direction,Meter_Type,Shared_With,Sign_Definition
49.20184,-122.909115,PM-03,07R01,WB,Double,07R03,2 HOUR METER
49.20184,-122.909115,PM-03,07R03,WB,Double,07R01,2 HOUR METER
49.201781,-122.909227,PM-03,07R05,WB,Double,07R07,2 HOUR METER
49.201781,-122.909227,PM-03,07R07,WB,Double,07R05,2 HOUR METER
49.201718,-122.909344,PM-03,07R09,WB,Double,07R11,2 HOUR METER
49.201718,-122.909344,PM-03,07R11,WB,Double,07R09,2 HOUR METER
49.201175,-122.91035,PM-03,07R17,WB,Double,07R19,2 HOUR METER
49.201175,-122.91035,PM-03,07R19,WB,Double,07R17,2 HOUR METER
49.201108,-122.91048,PM-03,07R21,WB,Double,07R23,2 HOUR METER
49.201108,-122.91048,PM-03,07R23,WB,Double,07R21,2 HOUR METER
49.201039,-122.910607,PM-03,07R25,WB,Double,07R27,2 HOUR METER
49.201039,-122.910607,PM-03,07R27,WB,Double,07R25,2 HOUR METER
49.201004,-122.910674,PM-03,07R29,WB,Single,,2 HOUR METER
49.212164,-122.922002,PM-03,07U02,EB,Single,,2 HOUR METER
49.212095,-122.922131,PM-03,07U04,EB,Double,07U06,2 HOUR METER
49.212095,-122.922131,PM-03,07U06,EB,Double,07U04,2 HOUR METER
49.211957,-122.92239,PM-03,07U08,EB,Double,07U10,2 HOUR METER
49.211957,-122.92239,PM-03,07U10,EB,Double,07U08,2 HOUR METER
49.211898,-122.9225,PM-03,07U12,EB,Double,07U14,2 HOUR METER
49.211898,-122.9225,PM-03,07U14,EB,Double,07U12,2 HOUR METER
49.211829,-122.922629,PM-05,07U16,EB,Double,07U18,2 HOUR HANDICAPPED METER
49.211829,-122.922629,PM-05,07U18,EB,Double,07U16,2 HOUR HANDICAPPED METER
49.211721,-122.922831,PM-03,07U20,EB,Single,,2 HOUR METER
49.211659,-122.922946,PM-03,07U22,EB,Double,07U24,2 HOUR METER
49.211659,-122.922946,PM-03,07U24,EB,Double,07U22,2 HOUR METER
49.21099,-122.934638,PM-02,0801A,NB,Double,0803A,30 MINUTE METER
49.210644,-122.934466,PM-03,0802A,SB,Double,0804A,2 HOUR METER
49.21099,-122.934638,PM-02,0803A,NB,Double,0801A,30 MINUTE METER
49.210644,-122.934466,PM-03,0804A,SB,Double,0802A,2 HOUR METER
